Monitoring Location Name,Monitoring Location Type Name,Latitude,Longitude,Organization Formal Name
"UT to Rocky Spr Br (BEN OD) nr Kensington Hts, PA",Stream,-77.7141,39.9980889,USGS Pennsylvania Water Science Center
"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD",Stream,-77.8247778,39.7163889,USGS Maryland Water Science Center
"DRY MARSH RUN NEAR BERRYVILLE, VA",Stream,-78.0686306,39.1925917,USGS Virginia Water Science Center
"MILL CREEK AT BUNKER HILL, WV",Stream,-78.0534361,39.334625,USGS West Virginia Water Science Center
"OPEQUON CREEK NEAR MARTINSBURG, WV",Stream,-77.9386084,39.4237105,USGS West Virginia Water Science Center
"ROCKYMARSH RUN AT SCRABBLE, WV",Stream,-77.8318333,39.4830833,USGS West Virginia Water Science Center
"ANTIETAM CREEK NEAR SHARPSBURG, MD",Stream,-77.7301944,39.4497778,USGS Maryland Water Science Center
"MUDDY CREEK AT MOUNT CLINTON, VA",Stream,-78.9603075,38.4867901,USGS Virginia Water Science Center
"NORTH RIVER AT ROUTE 727 NEAR MT CRAWFORD, VA",Stream,-78.9453056,38.3531944,USGS Virginia Water Science Center
"NORTH RIVER BELOW TRIBUTARY NEAR MT CRAWFORD, VA",Stream,-78.948,38.34875,USGS Virginia Water Science Center
"COOKS CREEK AT COLLEGE STREET AT DAYTON, VA",Stream,-78.9381667,38.4194167,USGS Virginia Water Science Center
"NORTH RIVER ABOVE WWTP NEAR MOUNT CRAWFORD, VA",Stream,-78.9301028,38.3388444,USGS Virginia Water Science Center
"NORTH RIVER BELOW WWTP NEAR MOUNT CRAWFORD, VA",Stream,-78.9294222,38.3396833,USGS Virginia Water Science Center
"NORTH RIVER AT RAILROAD BRIDGE NR MT CRAWFORD, VA",Stream,-78.9195556,38.3449444,USGS Virginia Water Science Center
"NAKED CREEK AT ROUTE 694 AT BURKETOWN, VA",Stream,-78.9245833,38.3082778,USGS Virginia Water Science Center
"MIDDLE RIVER AT ROUTE 775 NEAR GROTTOES, VA",Stream,-78.8808889,38.2410278,USGS Virginia Water Science Center
"SOUTH RIVER ABOVE ROCKFISH RUN AT WAYNESBORO, VA",Stream,-78.8846389,38.0636389,USGS Virginia Water Science Center
"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA",Stream,-78.7547457,38.322628,USGS Virginia Water Science Center
"S F SHENANDOAH RIVER NEAR ELKTON, VA",Stream,-78.6441844,38.3876268,USGS Virginia Water Science Center
"S F SHENANDOAH RIVER NR ORE WASH RD AT ELKTON, VA",Stream,-78.6241944,38.3969444,USGS Virginia Water Science Center
"BEAR LITHIA SPRING NEAR ELKTON, VA",Spring,-78.6181389,38.4356667,USGS Virginia Water Science Center
"HAWKSBILL CREEK AT ROUTE 675 AT LURAY, VA",Stream,-78.4595,38.6680278,USGS Virginia Water Science Center
"HAWKSBILL CREEK AT RT 648 AT SPRINGFIELD, VA",Stream,-78.4563966,38.7081732,USGS Virginia Water Science Center
"S F SHENANDOAH RIVER AB WWTP AT BENTONVILLE, VA",Stream,-78.3091306,38.8524222,USGS Virginia Water Science Center
"GOONEY RUN NEAR GLEN ECHO, VA",Stream,-78.2319454,38.8351147,USGS Virginia Water Science Center
"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",Stream,-78.2108339,38.9140006,USGS Virginia Water Science Center
"SMITH CREEK AT SPRING NEAR HARRISONBURG, VA",Spring,-78.7750111,38.4726667,USGS Virginia Water Science Center
"SMITH CREEK BELOW SPRING NEAR HARRISONBURG, VA",Stream,-78.7775,38.4763889,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 724 NEAR LACEY SPRING, VA",Stream,-78.7725,38.4836111,USGS Virginia Water Science Center
"MOUNTAIN RUN AT RT 620 NEAR LACEY SPRING, VA",Stream,-78.7394444,38.4994444,USGS Virginia Water Science Center
"BIG SPRING NEAR LACEY SPRING, VA",Spring,-78.7449722,38.5120556,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 811 NEAR LACEY SPRING, VA",Stream,-78.7508333,38.5163889,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 806 NEAR LACEY SPRING, VA",Stream,-78.7494444,38.5247222,USGS Virginia Water Science Center
"SMITH CREEK AT RT 717 NEAR LACEY SPRING, VA",Stream,-78.7505782,38.538455,USGS Virginia Water Science Center
"DRY FORK AT ROUTE 724 NEAR HARRISONBURG, VA",Stream,-78.804525,38.4979306,USGS Virginia Water Science Center
"DRY FORK AT ROUTE 806 NEAR LACEY SPRING, VA",Stream,-78.7619675,38.5340108,USGS Virginia Water Science Center
"LACEY SPRING AT LACEY SPRING, VA",Spring,-78.7646944,38.5424167,USGS Virginia Water Science Center
"LACEY SPRING ABOVE SMITH CREEK AT LACEY SPRING, VA",Stream,-78.7616667,38.5411111,USGS Virginia Water Science Center
"SMITH CREEK ABOVE ROUTE 717 NEAR LACEY SPRING, VA",Stream,-78.7519444,38.5475,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 717 NEAR TENTH LEGION, VA",Stream,-78.7375833,38.5565,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 608 NEAR TENTH LEGION, VA",Stream,-78.7316881,38.5573434,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 798 NEAR TENTH LEGION, VA",Stream,-78.7189095,38.5692875,USGS Virginia Water Science Center
"SMITH CREEK ABOVE WAR BRANCH NEAR TENTH LEGION, VA",Stream,-78.7063889,38.5861111,USGS Virginia Water Science Center
"WAR BRANCH AT OAKWOOD, VA",Stream,-78.7113889,38.525,USGS Virginia Water Science Center
"WAR BRANCH AT ROUTE 620 AT ATHLONE, VA",Stream,-78.7027778,38.5383333,USGS Virginia Water Science Center
"WAR BRANCH NEAR ATHLONE, VA",Stream,-78.7061111,38.555,USGS Virginia Water Science Center
"WAR BRANCH TRIBUTARY NEAR ATHLONE, VA",Stream,-78.7077778,38.555,USGS Virginia Water Science Center
"WAR BRANCH TRIBUTARY NEAR TENTH LEGION, VA",Stream,-78.7147222,38.5647222,USGS Virginia Water Science Center
"WAR BRANCH AT ROUTE 798 AT TENTH LEGION, VA",Stream,-78.7144444,38.5675,USGS Virginia Water Science Center
"WAR BRANCH AT MOUTH AT TENTH LEGION, VA",Stream,-78.7061111,38.5861111,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 796 NEAR TENTH LEGION, VA",Stream,-78.7019444,38.5883333,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 793 NEAR NEW MARKET, VA",Stream,-78.6830556,38.6008333,USGS Virginia Water Science Center
"SMITH CREEK AT RT 794 NR LACEY SPRING, VA",Stream,-78.67224,38.6142862,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 823 AT NEW MARKET, VA",Stream,-78.6641667,38.6280556,USGS Virginia Water Science Center
"SMITH CREEK ABOVE TRIBUTARY 100 AT NEW MARKET, VA",Stream,-78.6606056,38.6281611,USGS Virginia Water Science Center
"SMITH CREEK TRIB 100 AT MOUTH AT NEW MARKET, VA",Stream,-78.6604,38.6280833,USGS Virginia Water Science Center
"SMITH CREEK ABOVE TRIBUTARY 200 AT NEW MARKET, VA",Stream,-78.6586611,38.6304528,USGS Virginia Water Science Center
"SMITH CREEK TRIBUTARY AT RT 620 AT NEW MARKET, VA",Stream,-78.6554083,38.6315972,USGS Virginia Water Science Center
"SMITH CREEK TRIB 200 AT MOUTH AT NEW MARKET, VA",Stream,-78.6583667,38.6309389,USGS Virginia Water Science Center
"SMITH CREEK ABOVE TRIBUTARY 300 AT NEW MARKET, VA",Stream,-78.6630111,38.6349583,USGS Virginia Water Science Center
"SMITH CREEK TRIB 300 AT MOUTH AT NEW MARKET, VA",Stream,-78.6634278,38.6349389,USGS Virginia Water Science Center
"SMITH CREEK ABOVE TRIBUTARY 400 AT NEW MARKET, VA",Stream,-78.6635111,38.6403861,USGS Virginia Water Science Center
"SMITH CREEK TRIB 400 AT MOUTH AT NEW MARKET, VA",Stream,-78.6636417,38.6406472,USGS Virginia Water Science Center
"SMITH CREEK ABOVE TRIBUTARY 500 AT NEW MARKET, VA",Stream,-78.6614083,38.6414167,USGS Virginia Water Science Center
"PIPE OUTFALL ABOVE TRIBUTARY 500 AT NEW MARKET, VA",Facility: Outfall,-78.6612278,38.6414028,USGS Virginia Water Science Center
"SMITH CREEK TRIB 500 AT MOUTH AT NEW MARKET, VA",Stream,-78.6610972,38.6415528,USGS Virginia Water Science Center
"SMITH CREEK BELOW TRIBUTARY 500 AT NEW MARKET, VA",Stream,-78.6607861,38.6413528,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 735 AT NEW MARKET, VA",Stream,-78.6572222,38.6411111,USGS Virginia Water Science Center
"SMITH CREEK AT RT 211 NEAR NEW MARKET, VA",Stream,-78.6447383,38.6453964,USGS Virginia Water Science Center
"SMITH CREEK BELOW ROUTE 211 AT NEW MARKET, VA",Stream,-78.6566667,38.66,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 620 AT ALPINE, VA",Stream,-78.6402778,38.6755556,USGS Virginia Water Science Center
"SMITH CREEK NEAR NEW MARKET, VA",Stream,-78.6427935,38.6934502,USGS Virginia Water Science Center
"SMITH CREEK ABOVE GAP CREEK NEAR MOUNT JACKSON, VA",Stream,-78.6352778,38.7016667,USGS Virginia Water Science Center
"GAP CREEK AT ROUTE 730 NEAR MOUNT JACKSON, VA",Stream,-78.620848,38.7109497,USGS Virginia Water Science Center
"GAP CREEK AT MOUTH NEAR MOUNT JACKSON, VA",Stream,-78.635,38.7016667,USGS Virginia Water Science Center
"SMITH CREEK AT ROUTE 730 NEAR MOUNT JACKSON, VA",Stream,-78.6363889,38.7122222,USGS Virginia Water Science Center
"NF SHENANDOAH RIVER BL RT 707 NEAR MT JACKSON, VA",Stream,-78.5928333,38.7818333,USGS Virginia Water Science Center
"SPRING 1 TO NF SHENANDOAH RIVER NEAR EDINBURG, VA",Spring,-78.5824722,38.8085,USGS Virginia Water Science Center
"SPRING 2 TO NF SHENANDOAH RIVER NEAR EDINBURG, VA",Spring,-78.5815556,38.8086667,USGS Virginia Water Science Center
"NF SHENANDOAH RIVER ABOVE RT 698 NEAR EDINBURG, VA",Stream,-78.5805278,38.8088333,USGS Virginia Water Science Center
"STONY CREEK AT ROUTE 682 NEAR EDINBURG, VA",Stream,-78.60575,38.8468611,USGS Virginia Water Science Center
"NARROW PASSAGE CR ABV TR AT OX RD NR WOODSTOCK, VA",Stream,-78.5458611,38.8514167,USGS Virginia Water Science Center
"NF SHENANDOAH RIVER BELOW RT 758 NR WOODSTOCK, VA",Stream,-78.47025,38.8795278,USGS Virginia Water Science Center
"NF SHEN RIVER AB SPG HOLLOW CR NR WOODSTOCK, VA",Stream,-78.4793889,38.8843806,USGS Virginia Water Science Center
"SPRING HOLLOW RUN AT MOUTH NEAR WOODSTOCK, VA",Stream,-78.48,38.8856667,USGS Virginia Water Science Center
"NF SHENANDOAH RIVER ABOVE TRIB NEAR WOODSTOCK, VA",Stream,-78.4584361,38.8779361,USGS Virginia Water Science Center
"NF SHENANDOAH RIVER BL PUGHS RUN NR WOODSTOCK, VA",Stream,-78.4814167,38.9045,USGS Virginia Water Science Center
"N F SHENANDOAH RIVER NEAR STRASBURG, VA",Stream,-78.3361152,38.9767759,USGS Virginia Water Science Center
"PASSAGE CREEK AT FISH HATCHERY AT WATERLICK, VA",Stream,-78.2953778,38.950525,USGS Virginia Water Science Center
"HAPPY CREEK AT ROUTE 55 AT FRONT ROYAL, VA",Stream,-78.1851944,38.91075,USGS Virginia Water Science Center
"WILLOW BROOK AT ROUTE 658 AT ROCKLAND, VA",Stream,-78.1504444,38.9793333,USGS Virginia Water Science Center
"SPOUT RUN AT RT 621 NEAR MILLWOOD, VA",Stream,-78.0037528,39.067025,USGS Virginia Water Science Center
"SHENANDOAH RIVER AT MILLVILLE, WV",Stream,-77.7891606,39.2820458,USGS West Virginia Water Science Center
"LITTLE CATOCTIN CREEK NEAR ROSEMONT, MD",Stream,-77.6340833,39.34125,USGS Maryland Water Science Center
"LITTLE CATOCTIN CREEK AT ROSEMONT, MD",Stream,-77.6264722,39.3376111,USGS Maryland Water Science Center
"OWENS CREEK TRIBUTARY AT FOXVILLE, MD",Stream,-77.4895972,39.6507444,USGS Maryland Water Science Center
"CARROLL CREEK NEAR FREDERICK, MD",Stream,-77.4405833,39.4360278,USGS Maryland Water Science Center
"CARROLL CREEK ABOVE ROCK CREEK AT FREDERICK, MD",Stream,-77.4297778,39.4244167,USGS Maryland Water Science Center
"HORSEPEN RUN AB HORSEPEN RUN TRIB NR HERNDON, VA",Stream,-77.4057722,38.9225972,USGS Virginia Water Science Center
"SUGARLAND RUN TRIB BL CRAYTON RD NR HERNDON, VA",Stream,-77.3606556,38.9986028,USGS Virginia Water Science Center
"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",Stream,-77.3324293,38.8846952,USGS Virginia Water Science Center
"DIFFICULT RUN ABOVE ROCKY BRANCH AT VIENNA, VA",Stream,-77.3174843,38.9006671,USGS Virginia Water Science Center
"ROCKY BRANCH ABOVE TRIB2 NEAR VIENNA, VA",Stream,-77.3169889,38.9002917,USGS Virginia Water Science Center
"ROCKY BRANCH TRIB2 AB ROCKY BRANCH NEAR VIENNA, VA",Stream,-77.3170861,38.9002611,USGS Virginia Water Science Center
"ROCKY BRANCH AT MOUTH NEAR VIENNA, VA",Stream,-77.3172065,38.9006671,USGS Virginia Water Science Center
"DIFFICULT RUN NEAR VIENNA, VA",Stream,-77.3185954,38.903167,USGS Virginia Water Science Center
"DIFFICULT RUN TRIB BL VALESTRA CIR NR VIENNA, VA",Stream,-77.3205139,38.9030611,USGS Virginia Water Science Center
"DIFFICULT RUN AB LITTLE DIFFICULT RN NR VIENNA, VA",Stream,-77.3165,38.9205556,USGS Virginia Water Science Center
"LITTLE DIFFICULT RUN NEAR VIENNA, VA",Stream,-77.33775,38.9099444,USGS Virginia Water Science Center
"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",Stream,-77.3382627,38.9088892,USGS Virginia Water Science Center
"LITTLE DIFFICULT RUN AT MOUTH NEAR VIENNA, VA",Stream,-77.316373,38.9206667,USGS Virginia Water Science Center
"DIFFICULT RUN ABOVE SNAKEDEN BRANCH NR VIENNA, VA",Stream,-77.3080833,38.9304167,USGS Virginia Water Science Center
"SNAKEDEN BRANCH AT RESTON, VA",Stream,-77.344985,38.930111,USGS Virginia Water Science Center
"SNAKEDEN BRANCH BL TWIN BRANCHES RD AT RESTON, VA",Stream,-77.3246667,38.933,USGS Virginia Water Science Center
"THE GLADE AT TWIN BRANCHES ROAD AT RESTON, VA",Stream,-77.3248611,38.9306667,USGS Virginia Water Science Center
"SNAKEDEN BRANCH AT MOUTH NEAR VIENNA, VA",Stream,-77.3074837,38.9303887,USGS Virginia Water Science Center
"DIFFICULT RUN AT W&OD RR NEAR VIENNA, VA",Stream,-77.2983167,38.931222,USGS Virginia Water Science Center
"PINEY BRANCH NEAR VIENNA, VA",Stream,-77.28425,38.9166111,USGS Virginia Water Science Center
"PINEY BRANCH AT MOUTH NEAR VIENNA, VA",Stream,-77.2974834,38.9314998,USGS Virginia Water Science Center
"DIFFICULT RUN AT BROWNS MILL ROAD AT KENMORE, VA",Stream,-77.2915556,38.9531389,USGS Virginia Water Science Center
"WOLFTRAP CREEK AT BOIS AVENUE NEAR VIENNA, VA",Stream,-77.2631111,38.9320278,USGS Virginia Water Science Center
"OLD COURTHOUSE SPRING BRANCH NEAR VIENNA, VA",Stream,-77.2576389,38.9390278,USGS Virginia Water Science Center
"WOLFTRAP CREEK NEAR VIENNA, VA",Stream,-77.284705,38.9506661,USGS Virginia Water Science Center
"DIFFICULT RUN ABOVE COLVIN RUN AT KENMORE, VA",Stream,-77.2879722,38.9657222,USGS Virginia Water Science Center
"COLVIN RUN ABOVE LAKE FAIRFAX AT RESTON, VA",Stream,-77.3237778,38.9644444,USGS Virginia Water Science Center
"COLVIN RUN AT RESTON, VA",Stream,-77.3097058,38.9656658,USGS Virginia Water Science Center
"COLVIN RUN AT MOUTH AT KENMORE, VA",Stream,-77.2880556,38.9658333,USGS Virginia Water Science Center
"DIFFICULT RUN AB CAPTAIN HICKORY RN AT KENMORE, VA",Stream,-77.2768611,38.9719167,USGS Virginia Water Science Center
"CAPTAIN HICKORY RUN TRIB RT DRAIN NR RESTON, VA",Stream,-77.3047972,38.9961667,USGS Virginia Water Science Center
"CAPTAIN HICKORY RUN AB TRIB 1 NEAR GREAT FALLS, VA",Stream,-77.2974389,38.99155,USGS Virginia Water Science Center
"CAPTAIN HICKORY TRIB1 AB TRIB NR GREAT FALLS, VA",Stream,-77.2978333,38.9949722,USGS Virginia Water Science Center
"CAPTAIN HICKORY TRIB1 TRIB NEAR GREAT FALLS, VA",Stream,-77.2964444,38.9934444,USGS Virginia Water Science Center
"CAPTAIN HICKORY RUN TRIB1 NEAR GREAT FALLS, VA",Stream,-77.2969361,38.9914778,USGS Virginia Water Science Center
"CAPTAIN HICKORY RUN AT RT 681 NEAR GREAT FALLS, VA",Stream,-77.2886389,38.9851667,USGS Virginia Water Science Center
"PINEY RUN AT RESTON, VA",Stream,-77.3188727,38.9803878,USGS Virginia Water Science Center
"PINEY RUN AT MOUTH NEAR GREAT FALLS, VA",Stream,-77.2863714,38.9837211,USGS Virginia Water Science Center
"CAPTAIN HICKORY RUN AT MOUTH AT KENMORE, VA",Stream,-77.2769267,38.9723324,USGS Virginia Water Science Center
"ROCKY RUN AT MOUTH NEAR GREAT FALLS, VA",Stream,-77.2464444,38.9756944,USGS Virginia Water Science Center
"DIFFICULT RUN NEAR GREAT FALLS, VA",Stream,-77.2458144,38.9759435,USGS Virginia Water Science Center
"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",Stream,-77.1756743,38.9597772,USGS Virginia Water Science Center
"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",Stream,-77.1276389,38.9497778,USGS Maryland Water Science Center
"POTOMAC RIVER AT CHAIN BRIDGE, AT WASHINGTON, DC",Stream,-77.1169232,38.9295555,USGS Maryland Water Science Center
"POTOMAC RIVER AT KEY BRIDGE AT WASHINGTON, DC",Stream,-77.0694221,38.9023338,USGS Maryland Water Science Center
"ROCK CREEK AT JOYCE RD WASHINGTON, DC",Stream,-77.0420556,38.9601667,USGS Maryland Water Science Center
"PAINT BRANCH NEAR COLLEGE PARK, MD",Stream,-76.9642778,39.0331389,USGS Maryland Water Science Center
"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",Stream,-76.9259722,38.96025,USGS Maryland Water Science Center
"SLIGO CREEK NEAR TAKOMA PARK, MD",Stream,-77.0048611,38.9862222,USGS Maryland Water Science Center
"NORTHWEST BR ANACOSTIA RIVER NR HYATTSVILLE, MD",Stream,-76.9660556,38.9523333,USGS Maryland Water Science Center
"BEAVERDAM CREEK NEAR CHEVERLY, MD",Stream,-76.9343056,38.9163056,USGS Maryland Water Science Center
"NASH RUN AT WASHINGTON, DC",Stream,-76.9421111,38.9103333,USGS Maryland Water Science Center
"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",Stream,-76.9692222,38.9168056,USGS Maryland Water Science Center
"WATTS BRANCH AT WASHINGTON, DC",Stream,-76.9432778,38.9012778,USGS Maryland Water Science Center
UNMED TRIB TO ANACOSTIA R BLW FT DUPONT AT WASH DC,Stream,-76.964,38.8821111,USGS Maryland Water Science Center
"POPE BRANCH AT FAIRLAWN AVE AT WASHINGTON, DC",Stream,-76.9666194,38.8776,USGS Maryland Water Science Center
"TRIB TO ANACOSTIA R ABV GOOD HOPE ROAD AT WASH, DC",Stream,-76.9765833,38.8639167,USGS Maryland Water Science Center
"INDIAN RUN AT BREN MAR DRIVE AT ALEXANDRIA, VA",Stream,-77.1493611,38.7998056,USGS Virginia Water Science Center
"TURKEYCOCK RUN AT EDSALL RD AT ALEXANDRIA, VA",Stream,-77.1451389,38.8041667,USGS Virginia Water Science Center
"PAUL SPRING BR AB NORTH BRANCH NR GUM SPRINGS, VA",Stream,-77.0669444,38.74375,USGS Virginia Water Science Center
"TRIB TO DOGUE CREEK AT KINGMAN RD AT ACCOTINK, VA",Stream,-77.1436944,38.7306944,USGS Virginia Water Science Center
"DOGUE CREEK TRIB AT WOODLEY DR AT MOUNT VERNON, VA",Stream,-77.1031778,38.72435,USGS Virginia Water Science Center
"TRIB TO POTOMAC RIVER NR JADWIN RD AT ACCOTINK, VA",Stream,-77.1257222,38.6885,USGS Virginia Water Science Center
"ACCOTINK CREEK NEAR ANNANDALE, VA",Stream,-77.2283158,38.8128907,USGS Virginia Water Science Center
"LONG BRANCH NEAR ANNANDALE, VA",Stream,-77.2349827,38.8109462,USGS Virginia Water Science Center
"ACCOTINK CREEK ABOVE BARTA ROAD NEAR NEWINGTON, VA",Stream,-77.2038611,38.7561111,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CR NR BEECHWD DR NR NEWINGTON, VA",Stream,-77.2081111,38.7563333,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CR ABV BARTA RD NR NEWINGTON, VA",Stream,-77.2083889,38.7512222,USGS Virginia Water Science Center
"FIELD LARK BRANCH ABOVE BARTA RD NR NEWINGTON, VA",Stream,-77.1859444,38.7578889,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CR NR KINGMN RD AT FT BELVOIR, VA",Stream,-77.1673333,38.72275,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CREEK ABV POE RD AT ACCOTINK, VA",Stream,-77.1838333,38.7025,USGS Virginia Water Science Center
"ACCOTINK CREEK AT HWY 1 AT ACCOTINK, VA",Stream,-77.1688696,38.7078931,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CR ABV GUNSTON RD AT ACCOTINK, VA",Stream,-77.1460556,38.7014444,USGS Virginia Water Science Center
"TRIB TO POHICK CREEK NR WARREN RD AT ACCOTINK, VA",Stream,-77.1536111,38.6864167,USGS Virginia Water Science Center
"RABBIT BRANCH TRIBUTARY AB LAKE ROYAL NR BURKE, VA",Stream,-77.2967833,38.8084167,USGS Virginia Water Science Center
"TRIB TO POHICK CR AT POHICK NECK NEAR LOFTON, VA",Stream,-77.1795556,38.6954167,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CR NR MORROW RD AT ACCOTINK, VA",Stream,-77.1464722,38.6801944,USGS Virginia Water Science Center
"TRIB TO ACCOTINK CR NR TOTTEN RD AT ACCOTINK, VA",Stream,-77.1350556,38.6810278,USGS Virginia Water Science Center
"FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY, VA",Stream,-77.4319047,38.8823899,USGS Virginia Water Science Center
"FROG BRANCH ABOVE FLATLICK BRANCH AT CHANTILLY, VA",Stream,-77.4304722,38.8811389,USGS Virginia Water Science Center
"BIG ROCKY RUN AT STRINGFELLOW RD NR CHANTILLY, VA",Stream,-77.4077778,38.8681667,USGS Virginia Water Science Center
"WILLOW SPRINGS BRANCH AT HWY 29 NR CENTREVILLE, VA",Stream,-77.3955425,38.8406685,USGS Virginia Water Science Center
"POPES HEAD CREEK TRIB NEAR FAIRFAX STATION, VA",Stream,-77.3496944,38.798,USGS Virginia Water Science Center
"CASTLE CREEK AT NEWMAN ROAD AT CLIFTON, VA",Stream,-77.3806667,38.78825,USGS Virginia Water Science Center
"MATTAWOMAN CREEK NEAR POMONKEY, MD",Stream,-77.0560278,38.5961389,USGS Maryland Water Science Center
"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",Stream,-77.4285958,38.5873427,USGS Virginia Water Science Center
"RAPPAHANNOCK RIVER AT REMINGTON, VA",Stream,-77.8136045,38.53068,USGS Virginia Water Science Center
"RAPIDAN RIVER NEAR CULPEPER, VA",Stream,-77.9749972,38.3504077,USGS Virginia Water Science Center
"MINE RUN AT BURR HILL, VA",Stream,-77.8588835,38.3434632,USGS Virginia Water Science Center
"MOUNTAIN RUN NEAR BURR HILL, VA",Stream,-77.8936065,38.3537408,USGS Virginia Water Science Center
"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",Stream,-77.5291527,38.3084618,USGS Virginia Water Science Center
"MOUNT CR UNNAMED TRIB NR RAPPAHANNOCK ACADEMY, VA",Stream,-77.2896222,38.2002556,USGS Virginia Water Science Center
"GOLDENVALE CR TR 160 YDS AB MTH NR PORT ROYAL, VA",Stream,-77.2784417,38.1683556,USGS Virginia Water Science Center
"MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA",Stream,-77.2321667,38.1296111,USGS Virginia Water Science Center
"MILL CREEK BLW PEUMANSEND CREEK NR PORT ROYAL, VA",Stream,-77.2235,38.1289444,USGS Virginia Water Science Center
"PORTOBAGO CR AT ENON CHURCH RD NR PORT ROYAL, VA",Stream,-77.1475583,38.1087639,USGS Virginia Water Science Center
"DRAGON SWAMP AT MASCOT, VA",Stream,-76.6963468,37.6337529,USGS Virginia Water Science Center
"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA",Stream,-77.4277595,37.8501402,USGS Virginia Water Science Center
"PAMUNKEY RIVER NEAR HANOVER, VA",Stream,-77.3322018,37.7676419,USGS Virginia Water Science Center
"REYNOLDS RN 80YD BLW JEFF DAVIS DR NR WOODFORD, VA",Stream,-77.3549944,38.0880167,USGS Virginia Water Science Center
"REYNOLDS RN TRIB2 BL JEFF DAVIS DR NR WOODFORD, VA",Stream,-77.3550806,38.08795,USGS Virginia Water Science Center
"REYNOLDS RUN BELOW TRIBUTARY 2 NEAR WOODFORD, VA",Stream,-77.3551194,38.0880056,USGS Virginia Water Science Center
"MATTAPONI RIVER NEAR BOWLING GREEN, VA",Stream,-77.3858142,38.061801,USGS Virginia Water Science Center
"POLECAT CREEK AT ROUTE 301 NEAR PENOLA, VA",Stream,-77.3434444,37.9603333,USGS Virginia Water Science Center
"MATTAPONI RIVER NEAR BEULAHVILLE, VA",Stream,-77.1652778,37.8838889,USGS Virginia Water Science Center
"BACK CREEK NEAR SUNRISE, VA",Stream,-79.7686633,38.2454013,USGS Virginia Water Science Center
"BACK CREEK AT SUNRISE, VA",Stream,-79.81172,38.1904016,USGS Virginia Water Science Center
"LITTLE BACK CREEK NEAR SUNRISE, VA",Stream,-79.8375546,38.2145677,USGS Virginia Water Science Center
"BACK CREEK NEAR MOUNTAIN GROVE, VA",Stream,-79.8970003,38.0695688,USGS Virginia Water Science Center
"JACKSON RIVER BL GATHRIGHT DAM NR HOT SPGS, VA",Stream,-79.9492237,37.9484583,USGS Virginia Water Science Center
"MAURY RIVER AT ROCKBRIDGE BATHS, VA",Stream,-79.4219829,37.9073527,USGS Virginia Water Science Center
"JAMES RIVER AT BLUE RIDGE PKWY NR BIG ISLAND, VA",Stream,-79.3672547,37.5554152,USGS Virginia Water Science Center
"RIVANNA RIVER AT PALMYRA, VA",Stream,-78.2658373,37.8579192,USGS Virginia Water Science Center
"BONBROOK CREEK NEAR WHITEVILLE, VA",Stream,-78.2409444,37.5700833,USGS Virginia Water Science Center
"JAMES RIVER AT CARTERSVILLE, VA",Stream,-78.0858328,37.6709796,USGS Virginia Water Science Center
"JAMES RIVER AT BOULEVARD BRIDGE AT RICHMOND, VA",Stream,-77.4833181,37.5315358,USGS Virginia Water Science Center
"HOLIDAY CREEK NEAR ANDERSONVILLE, VA",Stream,-78.6358392,37.4154243,USGS Virginia Water Science Center
"APPOMATTOX RIVER AT FARMVILLE, VA",Stream,-78.388607,37.3070965,USGS Virginia Water Science Center
"CELLAR CREEK AT ROUTE 610 NEAR SPAINVILLE, VA",Stream,-77.9708333,37.20275,USGS Virginia Water Science Center
